순위,제목,평점,예매율,개봉일
1,범죄도시4,99%,69.4%,2024.04.24
2,쿵푸팬더4,92%,7.4%,2024.04.10
3,슈가│어거스트 디 투어 ‘디-데이’ 더 무비,98%,5.4%,2024.04.10
4,듄-파트2,96%,3.6%,2024.02.28
5,파묘,95%,2.1%,2024.02.22
6,고스트버스터즈: 오싹한 뉴욕,76%,1.6%,2024.04.17
7,남은 인생 10년,92%,1.1%,2024.04.03
8,극장판 스파이 패밀리 코드-화이트,94%,1.1%,2024.03.20
9,기동전사 건담 시드 프리덤,88%,0.7%,2024.04.03
10,댓글부대,83%,0.7%,2024.03.27
11,오멘-저주의 시작,87%,0.5%,2024.04.03
12,캐롤,92%,0.5%,2024.04.17
13,성우 남도형 에세이-인생은 파랑 출간 기념회&생일 팬미팅,?,0.4%,2024.04.20
14,땅에 쓰는 시,96%,0.3%,2024.04.17
15,에스파: 월드 투어 인 시네마,95%,0.3%,2024.04.10
16,내 사랑,98%,0.3%,2024.04.17
17,쇼잉 업(MCFF),?,0.2%,2024.04.26
18,로봇 드림,98%,0.2%,2024.03.13
19,애니멀 킹덤(MCFF),?,0.2%,2024.04.26
